Deputado,Fala
Lúcio Vale,"['Presidente', 'penso', 'acusações', 'feitas', 'Presidente', 'República', 'eivadas', 'falhas', 'vícios', 'Penso', 'processo', 'impeachment', 'processo', 'equivocado', 'Por', 'contra', 'impeachment']"
Nilson Pinto,"['Presidente', 'respeito', 'mulher', 'filhos', 'netos', 'povo', 'querido', 'Estado', 'Pará', 'futuro', 'melhor']"
Simone Morgado,"['Pela', 'defesa', 'democracia', 'considerar', 'Presidente', 'Dilma', 'cometeu', 'nenhum', 'crime', 'diferentemente', 'tantos', 'outros', 'denunciados', 'cometeram', 'envergonham', 'Casa', 'toda', 'história', 'povo', 'Pará', 'digo', 'impeachment']"
Wladimir Costa,"['Presidente', 'colega', 'Câmara', 'cujo', 'nome', 'vou', 'citar', 'disse', 'cassarmos', 'Presidente', 'Dilma', 'hoje', 'vai', 'mudar', 'comprei', 'passagem', 'volta', 'Saia', 'daqui', 'porque', 'vamos', 'cassar', 'nome', 'Pará', 'Minha', 'mãe', 'negra', 'Lucimar', 'sul', 'sudeste', 'Pará', 'Tapajós', 'amado', 'querido', 'nordeste', 'Pará', 'toda', 'área', 'metropolitana', 'encaminhamos', 'nome', 'mãezinha', 'filhos', 'amigos', 'Solidariedade', 'desse', 'povo', 'querido', 'vota', 'votamos', 'vota', 'coloca', 'mão', 'cima', 'Coloca', 'mão', 'cima']"
Zé Geraldo,"['Povo', 'brasileiro', 'povo', 'Pará', 'coração', 'aguentar', 'tanta', 'hipocrisia', 'Pela', 'democracia', 'desenvolvimento', 'contra', 'fascistas', 'golpistas', 'oportunistas', 'picaretas', 'desta', 'Câmara', 'contra', 'golpe', 'moderno', 'querem', 'fazer', 'atingir', 'Presidenta', 'Dilma', 'Covardia', 'daqueles', 'votam', 'favor', 'desse', 'impeachment', 'Bando', 'covardes']"
Alex Canziani,"['futuro', 'mero', 'encontro', 'astros', 'futuro', 'constrói', 'segundo', 'Dom', 'Ivo', 'Lorscheiter', 'Presidente', 'nobres', 'pares', 'Relator', 'Jovair', 'Arantes', 'Voto', 'reconstrução', 'Voto']"
Alfredo Kaefer,"['Pela', 'liberdade', 'democracia', 'futuro', 'melhor', 'honra', 'povo', 'Paraná', 'pessoas', 'bem', 'querem', 'tirar', 'oligarquia', 'instalada', 'neste', 'poder', 'impeachment']"
Aliel Machado,"['Acredito', 'única', 'forma', 'termos', 'legitimidade', 'partir', 'desta', 'crise', 'nova', 'eleição', 'presidencial', 'defendo', 'Neste', 'momento', 'posso', 'aceitar', 'Dilma', 'Temer', 'menos', 'Eduardo', 'Cunha', 'acusado', 'ser', 'ladrão', 'Por']"
Assis do Couto,"['Pela', 'democracia', 'respeito', 'Constituição', 'juramos', 'cumprir', 'nesta', 'Casa', 'cidadania', 'pobres', 'deste', 'País']"
Christiane de Souza Yared,"['Senhores', 'cabe', 'tarefa', 'unirmos', 'País', 'leis', 'todos', 'pedaladas', 'condenam', 'Dilma', 'devem', 'condenar', 'Governadores', 'Estado', 'Beto', 'Richa', 'hora', 'chegando', 'Meu']"
