Deputado,Fala
Gilberto Nascimento,"['Presidente', 'primeiro', 'agradeço', 'Deus', 'fato', 'estarneste', 'momento', 'nesta', 'Casa', 'Em', 'nome', 'família', 'pensando', 'futuro', 'netos', 'Guilherme', 'Elisa', 'Gabriel', 'pensando', '10', 'milhões', 'brasileiros', 'desempregados', 'pensando', '60', 'milhões', 'pessoas', 'nome', 'SPC', 'pensando', 'ainda', 'povo', 'evangélico', 'eleitores', 'São', 'Paulo', 'esperança', 'brasileiros', 'voltem', 'sonhar', 'voltem', 'sorrir', 'impeachment', 'Muito', 'obrigado']"
Goulart,"['Pela', 'liberdade', 'igualdade', 'fraternidade', 'eleitores', 'São', 'Paulo', 'especialmente', 'Zona', 'Sul', 'São', 'Paulo', 'filhos', 'Fabinho', 'Rodrigo', 'Goulart', 'Deputado', 'Estadual', 'Jorge', 'Caruso', 'Vargem', 'Bonita', 'Grajaú', 'Parelheiros', 'Capela', 'Socorro', 'Santo', 'Amaro', 'Presidente']"
Guilherme Mussi,"['Presidente', 'senhoras', 'senhores', 'legalidade', 'muita', 'responsabilidade', 'serenidade', 'respeito', 'família', 'amigos', 'todos', 'paulistas', 'brasileiros']"
Herculano Passos,"['Por', 'São', 'Paulo', 'querida', 'cidade', 'Itu', 'toda', 'região', 'família', 'todos', 'confiaram', 'mim', 'Presidente', 'Viva']"
Ivan Valente,"['todo', 'povo', 'brasileiro', 'quero', 'dizer', 'aceito', 'corrupto', 'Eduardo', 'Cunha', 'presidindo', 'qualquer', 'processo', 'impeachment', 'Ele', 'deveria', 'ser', 'primeiro', 'impedido', 'Manifestação', 'plenário', 'eleição', 'Temer', 'vingar', 'impeachment', 'fraude', 'deve', 'ser', 'evitada', 'porque', 'Temer', 'armação', 'sacrificar', 'trabalhadores', 'abafar', 'Lava-Jato', 'Pela', 'democracia', 'contra', 'golpe', 'PSOL']"
Jefferson Campos,"['palavra', 'Deus', 'diz', 'Quando', 'justo', 'governa', 'povo', 'alegra', 'Quando', 'ímpio', 'domina', 'povo', 'sofre', 'Pelo', 'fim', 'desse', 'Governo', 'injusto', 'fazendo', 'povo', 'sofrer', 'Nação', 'Quadrangular', 'pai', '78', 'anos', 'ensinou', 'princípios', 'palavra', 'Deus', 'Estado', 'Presidente']"
João Paulo Papa,"['Representando', 'vontade', 'majoritária', 'cidade', 'Santos', 'Baixada', 'Santista', 'represento', 'Estado', 'São', 'Paulo', 'bem']"
Jorge Tadeu Mudalen,"['Pela', 'família', 'Sandra', 'Érica', 'Vítor', 'Jorge', 'neto', 'chegando', 'agora', 'Guarulhos', 'São', 'Paulo']"
José Mentor,"['Em', 'respeito', 'Constituição', 'soberania', 'popular', 'defesa', 'democracia', 'justiça', 'ser', 'impossível', 'impeachment', 'crime', 'responsabilidade']"
Keiko Ota,"['Presidente', 'nome', 'querido', 'filho', 'Ives', 'Ota', 'nome', 'todas', 'mulheres', 'brasileiras', 'nome', 'milhares', 'mães', 'perderam', 'filhos', 'virtude', 'violência', 'clamam', 'paz', 'justiça', 'direitos', 'humanos', 'todos', 'declaro']"
Luiz Lauro Filho,"['Presidente', 'deixo', 'claro', 'posicionamento', 'desde', 'início', 'novas', 'eleições', 'povo', 'pudesse', 'escolher', 'futuro', 'País', 'Mas', 'sentimento', 'dever', 'obrigação', 'representando', '105', 'mil', 'eleitores', 'colocaram', 'neste', 'primeiro', 'mandato', 'honrando', 'confiança', 'recebi', 'nome', 'família', 'pais', 'Brasília', 'acompanhando', 'mãe', 'Iara', 'pai', 'Luiz', 'Lauro', 'esposa', 'Larissa', 'filho', 'traz', 'nome', 'Luiz', 'Lauro', 'Neto', 'Presidente']"
Luiza Erundina,"['Pelos', 'deram', 'vida', 'democracia', 'empoderamento', 'mulheres']"
Major Olímpio,"['Fui', 'dentro', 'covil', 'bandidos', 'faixa', 'posse', 'Lula', 'safá-lo', 'mãos', 'Juiz', 'Moro', 'dizer', 'entalado', 'garganta', 'milhões', 'milhões', 'brasileiros', 'agora', 'vou', 'repetir', 'Dilma', 'vergonha', 'vergonha', 'vergonha', 'Sim']"
Mara Gabrilli,"['Por', 'São', 'Paulo', 'fim', 'dessa', 'quadrilha', 'assaltou', 'País', 'pai', 'tanto', 'sofreu', 'mão', 'PT', 'dignidade', 'pessoas', 'deficiência', 'povo', 'brasileiro']"
Marcelo Squassoni,"['Por', 'pai', 'história', 'filho', '18', 'anos', 'juventude', 'Guarujá', 'cidade', 'querida', 'Baixada', 'Santista', 'claro', 'Presidente']"
Marcio Alvino,"['Presidente', 'todos', 'acreditaram', 'mim', 'Estado', 'São', 'Paulo', 'mãe', 'ex-Prefeita', 'Guararema', 'Mogi', 'Cruzes', 'toda', 'região', 'Presidente']"
Miguel Haddad,"['Presidente', 'respeito', 'milhões', 'brasileiros', 'ruas', 'pedir', 'impeachment', 'Presidente', 'Dilma', 'representando', 'São', 'Paulo', 'representando', 'Jundiaí', 'região']"
Miguel Lombardi,"['Presidente', 'vou', 'votar', 'famílias', 'desesperadas', 'emprego', 'sustento', 'famílias', 'medo', 'perder', 'emprego', 'desenvolvimento', 'geração', 'emprego', 'Nação', 'brasileira', 'Estado', 'São', 'Paulo', 'consciência', 'mãe', 'memória', 'pai', 'cidade', 'Limeira', 'ter', 'acreditado', 'mim', 'Presidente']"
Milton Monti,"['Voto', 'juventude', 'brasileira', 'esperança', 'futuro', 'melhor', 'Voto']"
Missionário José Olímpio,"['Presidente', 'quero', 'primeiro', 'lugar', 'agradecer', 'Deus', 'àminha', 'família', 'amigos', 'querida', 'cidade', 'Itu', 'região', 'Estado', 'São', 'Paulo', 'Voto', 'Presidente']"
Nelson Marquezelli,"['Presidente', 'relatório', 'apresentado', 'Líder', 'PTB', 'Deputado', 'Jovair', 'Arantes', 'conciso', 'atendeu', 'objetivos', 'tanto', 'Comissão', 'aprovou', 'consultei', 'PTB', 'cidade', 'Pirassununga', 'consultei', 'Estado', 'São', 'Paulo', 'regional', 'consultei', 'Partido', 'Nacional', 'fechou', 'questão', 'conosco', 'unanimidade', 'todo', 'PTB', 'brasileiro']"
Nilto Tato,"['Presidente', 'defesa', 'direitos', 'indígenas', 'quilombolas', 'defesa', 'reforma', 'agrária', 'defesa', 'agricultura', 'familiar', 'defesa', 'Minha', 'Casa', 'Minha', 'Vida', 'defesa', 'Constituição', 'democracia', 'contra', 'golpe', 'tramado', 'Presidente', 'desta', 'Casa', 'Vice-Presidente', 'Michel', 'Temer']"
Orlando Silva,"['Saudando', 'trabalhadores', 'trabalhadoras', 'ruas', 'defesa', 'democracia', 'neste', 'momento', 'ocupam', 'Vale', 'Anhangabaú', 'São', 'Paulo', 'defesa', 'Constituição', 'Federal', 'tomei', 'posse', 'jurei', 'defender', 'fazer', 'cumprir', 'defesa', 'democracia', 'odo', 'partido', 'PCdoB', 'partido', 'história', 'princípio', 'coerência', 'lado', 'coragem', 'PCdoB', 'Não', 'golpe']"
Paulo Freire,"['Presidente', 'Deus', 'misericórdia', 'País', 'Por', 'São', 'Paulo', 'Presidente', 'respeito', 'fidelidade', 'povo', 'assembleiano', 'trouxe', 'Parlamento', 'Presidente']"
Paulo Maluf,['Presidente']
Paulo Pereira da Silva,"['Pelos', 'trabalhadores', 'aposentados', 'contra', '10', 'milhões', 'pessoas', 'perderam', 'emprego', 'Governo', 'Dilma', 'PT', 'crescimento', 'emprego', 'contra', 'boquinha', 'PT', 'fim', 'boquinha', 'PT', 'PCdoB', 'Presidente']"
Paulo Teixeira,"['Ao', 'povo', 'brasileiro', 'golpe', 'daqueles', 'querem', 'tirar', 'pessoa', '54', 'milhões', 'votos', 'urnas', 'Esses', 'querem', 'tirá-la', 'têm', 'votos', 'Contra', 'ataque', 'Constituição', 'democracia', 'sendo', 'feito', 'nesta', 'tarde', 'Brasília', 'contra', 'conspiração', 'dirigida', 'réu', 'corrupção', 'Supremo', 'Tribunal', 'Federal', 'Eduardo', 'Cunha', 'junto', 'Michel', 'Temer', 'Aécio', 'Neves', 'objetivo', 'tirar', 'direitos', 'povo', 'brasileiro', 'muitos', 'conquistados', 'Governos', 'Lula', 'Dilma']"
Pastor Marcos Feliciano,"['Com', 'ajuda', 'Deus', 'família', 'povo', 'brasileiro', 'evangélicos', 'Nação', 'toda', 'meninos', 'MBL', 'Vem', 'Pra', 'Rua', 'dizendo', 'Olavo', 'razão', 'Presidente', 'dizendo', 'tchau', 'querida', 'PT', 'Partido', 'Trevas', 'impeachment', 'Presidente']"
Renata Abreu,"['Presidente', 'hoje', 'passaremos', 'limpo', 'voz', 'povo', 'ecoará', 'Casa', 'Povo', 'Por', 'São', 'Paulo', 'família', 'marido', 'Gabriel', 'dois', 'filhos', 'Felipe', 'Rafael', 'Renata', 'Abreu', 'digo', 'impeachment']"
Ricardo Izar,"['Presidente', 'amor', 'memória', 'pai', 'Ricardo', 'Izar', 'poramor', 'filha', 'futuras', 'gerações', 'todos', 'exercem', 'cidadania', 'Avenida', 'Paulista']"
Ricardo Tripoli,"['Presidente', 'eleitores', 'São', 'Paulo', 'Estado', 'cidade', 'São', 'Paulo', 'lembrando', 'disseram', 'Giovana', 'Bianca', 'Bruno', 'quero', 'agradecer', 'eleitores', 'trouxeram', 'recomendaram', 'votar', 'impeachment']"
Roberto Alves,"['Presidente', 'povo', 'brasileiro', 'povo', 'paulista', 'clamam', 'justiça', 'Pela', 'família', 'esposa', 'filhos', 'neto', 'Gabriel']"
Roberto de Lucena,"['Presidente', 'merece', 'chance', 'merece', 'oportunidade', 'Énessa', 'direção', 'respeito', 'povo', 'São', 'Paulo', 'amor', 'Nação', 'brasileira', 'Que', 'Deus', 'abençoe', 'Presidente']"
Rodrigo Garcia,"['Presidente', 'lado', 'suplente', 'Deputado', 'Marcelo', 'Aguiar', 'comigo', 'representa', 'São', 'Paulo', 'futuro', 'filhos', 'futuro', 'filhos', 'todos', 'brasileiros', 'querido', 'Estado', 'São', 'Paulo']"
Samuel Moreira,"['Presidente', 'absoluto', 'respeito', 'Constituição', 'reformas', 'esperança', 'futuro', 'melhor', 'País']"
Sérgio Reis,"['Presidente', 'todos', 'presentes', 'acho', 'neste', 'plenário', 'ninguém', 'conheça', 'São', '58', 'anos', 'carreira', 'todas', 'cidades', 'todos', 'Estados', 'recebido', 'carinho', 'Vi', 'muitas', 'coisas', 'tristes', 'Perguntaram', 'mim', 'vai', 'fazer', 'lá', 'Brasília', 'disse', 'Vou', 'dedicar', 'anos', 'vida', 'povo', 'Hoje', 'momento', 'importante', 'mim', 'porque', 'precisamos', 'mudar', 'estágio', 'Não', 'possível', '10', 'milhões', 'desempregados', 'povo', 'morrendo', 'hospitais', 'ninguém', 'faz', 'nada', 'Meu', 'PRB']"
Silvio Torres,"['Presidente', 'Estado', 'São', 'Paulo', 'governado', '20', 'anos', 'políticos', 'honestos', 'partido', 'região', 'São', 'José', 'Rio', 'Pardo', 'terra', 'natal', 'milhões', 'brasileiros', 'ruas', 'clamar', 'decência', 'vida', 'pública', 'nova', 'história', 'vai', 'varrer', 'corruptos', 'Governo', 'onde', 'vão', 'viver', 'filhos', 'netos', 'Sim', 'Presidente']"
Tiririca,"['Presidente', 'país']"
Valmir Prascidelli,"['Presidente', 'direitos', 'iguais', 'todos', 'brasileiros', 'consciência', 'absolutamente', 'tranquila', 'diferentemente', 'muitos', 'coração', 'cheio', 'esperança', 'luta', 'melhor', 'vai', 'continuar', 'Pela', 'democracia', 'contra', 'golpe']"
Vanderlei Macris,"['Presidente', 'caros', 'colegas', 'contra', 'Governo', 'institucionalizou', 'corrupção', 'neste', 'País', 'Quero', 'fazer', 'homenagem', 'brasileiros', 'bem', 'àqueles', 'milhões', 'ruas', 'reivindicar', 'mudanças', 'mudança', 'impeachment', 'Pela', 'Constituição', 'Estado', 'São', 'Paulo', 'Presidente']"
Vicente Candido,"['Presidente', 'respeito', 'Constituição', 'brasileira', 'homenagem', 'jovens', 'trabalhadores', 'ocuparam', 'ruas', 'últimos', 'dias', 'pregando', 'decência', 'contra', 'ódio', 'contra', 'rancor', 'homenagem', 'trabalhadores', 'dia', 'decidiram', 'construir', 'história', 'próprias', 'mãos', 'fizeram', 'instrumento', 'luta', 'política', 'trabalho', 'Partido', 'Trabalhadores', 'contra', 'impeachment', 'Presidente', 'Dilma']"
Vicentinho,"['corrupto', 'faço', 'conchavo', 'traidor', 'classe', 'trabalhadora', 'oportunista', 'Em', 'nome', 'família', 'classe', 'operária', 'povo', 'negro', 'quilombolas', 'trabalhadores', 'campo', 'cidade', 'nome', 'dignidade', 'Presidenta', 'Dilma', 'aceito', 'conluio', 'espúrio', 'Por']"
Vinicius Carvalho,"['Presidente', 'Deputados', 'povo', 'brasileiro', 'Governo', 'errou', 'apostar', 'desordem', 'Este', 'Governo', 'errou', 'acreditar', 'progresso', 'deste', 'País', 'nesta', 'Casa', '95', 'milhões', 'votos', 'Deputados', 'Presidente', 'legitimidade', 'poder', 'dar', 'fim', 'Governo', 'Em', 'nome', 'povo', 'brasileiro', 'nome', 'Estado', 'São', 'Paulo', 'acolheu', 'bem', 'nome', 'PRB', 'partido', 'especialmente', 'esposa', 'filha', '20', 'anos', 'principais', 'eleitoras', 'sabem', 'dignidade', 'trabalho']"
Vitor Lippi,"['Presidente', 'nome', 'todos', 'moradores', 'Sorocaba', 'querida', 'região', 'nome', 'família', 'nome', 'daquelas', 'pessoas', 'esperando', 'atendimento', 'portas', 'hospitais', 'deste', 'País', 'contra', 'corrupção', 'contra', 'mentira', 'contra', 'populismo', 'favor', 'volta', 'empregos', 'neste', 'País', 'simpelo', 'afastamento', 'Presidente', 'Dilma']"
Alberto Filho,"['Presidente', 'moralidade', 'democracia', 'País', 'nome', 'povo', 'Estado', 'Maranhão', 'especial', 'cidade', 'Bacabal', 'hoje', 'completa', '96', 'anos', 'prosseguimento', 'impeachment']"
Aluisio Mendes,"['Presidente', 'direito', 'certeza', 'poder', 'olhar', 'espelho', 'ficar', 'paz', 'consciência']"
André Fufuca,"['Em', 'nome', 'unidade', 'partidária', 'Partido', 'Progressista', 'milhares', 'pessoas', 'enganadas', 'Refinaria', 'Premium', 'milhares', 'pessoas', 'choraram', 'morte', 'entes', 'queridos', 'BR-75', 'nome', 'desse', 'Estado', 'carrego', 'costas', 'coração', 'olhando', 'querido', 'Alto', 'Alegre', 'digo', 'povo', 'maranhense', 'povo', 'favor', 'impeachment']"
Cleber Verde,"['Presidente', 'Deputados', 'brasileiros', 'brasileiras', 'esperamos', 'amanhã', 'possamos', 'estar', 'todos', 'unidos', 'favor', 'Presidente', 'embora', 'ninguém', 'possa', 'voltar', 'atrás', 'fazer', 'novo', 'começo', 'qualquer', 'pode', 'começar', 'novo', 'fazer', 'novo', 'fim', 'PRB', 'segue', 'junto', 'unido', 'Que', 'Deus', 'abençoe', 'Sim', 'impeachment']"
Eliziane Gama,"['Presidente', 'combate', 'corrupção', 'ficou', 'cristalizada', 'neste', 'Governo', 'nome', 'força', 'Maranhão', 'nome', 'força', 'São', 'Luís', 'nome', 'força', 'gente', 'nordestina', 'impeachment']"
Hildo Rocha,"['Em', 'respeito', 'homens', 'mulheres', 'Maranhão', 'fizeram', 'Deputado', 'Federal', 'desenvolvimento', 'País', 'Presidente']"
João Castelo,"['Presidente', '44', 'anos', 'política', 'sempre', 'disse', 'político', 'podia', 'perder', 'duas', 'coisas', 'coerência', 'dignidade', 'Este', 'quinto', 'mandato', 'Senador', 'Governador', 'recentemente', 'Prefeito', 'São', 'Luís', 'capital', 'continuo', 'mesma', 'coerência', 'dignidade', 'graças', 'Deus', 'Voto', 'bem']"
João Marcelo Souza,"['Presidente', 'defesa', 'frágil', 'democracia', 'imatura', 'democracia', 'contra', 'impeachment', 'Voto']"
José Reinaldo,"['Presidente', 'quero', 'pedir', 'desculpas', 'querido', 'amigo', 'grande', 'Governador', 'Flávio', 'Dino', 'pois', 'posso', 'passar', 'cima', 'cassação', 'estranhíssima', 'injusta', 'Governador', 'Jackson', 'Lago', 'presto', 'homenagem', 'neste', 'momento', 'Não', 'posso', 'passar', 'cima', 'perseguições', 'injustiças', 'contra', 'mim', 'Não', 'posso', 'passar', 'cima', 'bloqueio', 'Governo', 'Federal', 'Governo', 'Assim', 'Governador', 'admiro', 'respeito', 'desculpe']"
Junior Marreca,"['gostaria', 'dizer', 'nobre', 'Deputado', 'Beto', 'Mansur', 'fazendo', 'democracia', 'Nós', 'estaríamos', 'fazendo', 'democracia', 'déssemos', 'àqueles', 'ruas', 'oportunidade', 'ir', 'urnas', 'votar', 'escolher', 'Presidente', 'democraticamente', 'Aí', 'estaríamos', 'fazendo', 'democracia', 'Como', 'disse', 'João', 'Castelo', 'perder', 'dignidade', 'coerência', 'impeachment']"
Juscelino Filho,"['Presidente', 'família', 'amigos', 'colegas', 'médicos', 'povo', 'querido', 'Estado', 'Maranhão', 'deu', 'oportunidade', 'representá-lo', 'hoje', 'neste', 'momento', 'histórico', 'especial', 'querida', 'Santa', 'Inês', 'Vitorino', 'Freire', 'futuro', 'melhor']"
Pedro Fernandes,"['Sem', 'demagogias', 'Presidente']"
Rubens Pereira Júnior,"['Conseguiu', 'hein', 'Presidente', 'Governo', 'mal', 'avaliado', 'deve', 'ser', 'julgado', 'urnas', 'Aqui', 'deve', 'ser', 'apreciado', 'pedalada', 'decreto', 'crime', 'responsabilidade', 'Segundo', 'Constituição', 'é.', 'Defender', 'Constituição', 'momentos', 'contra', 'majoritários', 'coragem', 'Por']"
Sarney Filho,"['Presidente', 'PV', 'tempo', 'decidiu', 'unanimidade', 'votar', 'impeachment', 'desta', 'forma', 'coloco', 'Sim']"
Victor Mendes,"['Acreditando', 'Deputados', 'ajudará', 'País', 'ajudará', 'melhorar', 'País', 'coragem', 'maranhense', 'norte', 'sul', 'leste', 'oeste', 'carinho', 'força', 'cidade', 'natal', 'cidade', 'Pinheiro', 'homenagem', 'únicas', 'verdadeiras', 'riquezas', 'filhas', 'Amanda', 'Isabela']"
Waldir Maranhão,"['Presidente', 'Deputados', 'todos', 'emocionados', 'Todos', 'atentos', 'julgando', 'próprios', 'respeitando', 'consciências', 'quero', 'dizer', 'Partido', 'Progressista', 'firmou', 'questão', 'Mas', 'desacordo', 'posição', 'partido', 'quero', 'dizer', 'Presidente', 'querido', 'continuarei', 'sendo', 'leal', 'pessoa', 'Presidente', 'desta', 'Casa', 'quero', 'dizer', 'Governador', 'Estado', 'Maranhão', 'Flávio', 'Dino', 'sonhou', 'mudança', 'vai', 'transformar', 'Estado', '...', 'Em', 'defesa', 'Constituição', 'defesa', 'democracia', 'golpe', 'contra', 'impeachment']"
Weverton Rocha,"['Presidente', 'cheguei', 'Casa', 'segundo', 'mandato', 'Agradeço', 'brava', 'militância', 'único', 'partido', 'militância', 'juventude', 'socialista', 'PDT', 'Percorri', 'caminho', 'lutei', 'lado', 'Dr.', 'Jackson', 'sei', 'assim', 'qualquer', 'defensor', 'Constituição', 'ousaria', 'dizer', 'tentativa', 'golpe', 'sendo', 'dada']"
Zé Carlos,"['Por', 'Constituição', 'jurei', 'defender', 'defesa', 'democracia', 'contra', 'processo', 'essência', 'mérito', 'jamais', 'deveria', 'ter', 'sido', 'aceito', 'nesta', 'Casa', 'contra', 'ter', 'Presidência', 'dupla', 'Eduardo', 'Cunha', 'Temer', 'contra', 'Presidente']"
Adail Carneiro,"['gostaria', 'incialmente', 'pedir', 'licença', 'todos', 'Parlamentares', 'desta', 'Casa', 'Presidente', 'reconhecer', 'trabalho', 'belíssimo', 'ex-Presidente', 'Lula', 'fez', 'dando', 'oportunidade', 'pessoas', 'pobres', 'nada', 'durante', 'governos', 'anteriores', 'Quero', 'pedir', 'desculpas', 'ex-Governador', 'Cid', 'Gomes', 'fez', 'povo', 'cearense', 'Presidenta', 'Dilma', 'Governador', 'Camilo', 'Santana', 'posso', 'deixar', 'atender', 'pedidos', 'chegam', 'mim', 'redes', 'sociais', 'palmas', 'demos', 'nova', 'oportunidade', 'povo', 'brasileiro', 'tão', 'necessária', 'diante', 'dessa', 'crise', 'política', 'levou', 'economia', 'desastrada', 'desenfreada', 'desandada', 'Hoje', 'fazer', 'parte', 'PP', 'orgulha', 'partido', 'ter', 'fechado', 'questão', 'poderia', 'emitir', 'forma', 'diferente', 'Meu']"
Ariosto Holanda,"['Presidente', 'defesa', 'democracia', 'defesa', 'Estado', 'Direito', 'crescimento', 'universidades', 'federais', 'institutos', 'federais', 'população', 'pobre', 'deste', 'País']"
Arnon Bezerra,"['Na', 'dificuldade', 'podemos', 'eximir', 'responsabilidade', 'Consciente', 'decisão', 'nome', 'família', 'povo', 'Juazeiro', 'Crato', 'Barbalha', 'maioria', 'Cariri', 'maioria', 'Ceará', 'homenagem', 'povo', 'nordestino', 'respeitando', 'decisão', 'povo', 'brasileiro']"
Cabo Sabino,"['Presidenta', 'Dilma', 'V.Exa', 'sentindo', '10', 'milhões', 'brasileiros', 'sentiram', 'receberam', 'aviso', 'prévio', 'perda', 'empregos', 'V.Exa', 'perdendo', 'emprego', 'Tchau', 'querida', 'precisa', 'voltar']"
Chico Lopes,"['Calma', 'gente', 'emocionado', 'pensei', 'vinha', 'reunião', 'política', 'vim', 'encontro', 'bons', 'maridos', 'bons', 'pais', 'Não', 'fala', 'ninguém', 'desonesto', 'olho', 'cara', 'vejo', 'bem', 'uns', 'cabras', 'Veja', 'Lava-Jato', 'imprensa', 'páginas', 'sociais', 'Portanto', 'nome', '54', 'milhões', 'brasileiros', '``', '``', 'contra', 'ditadura', 'desses', 'cabras']"
Danilo Forte,"['Presidente', 'Deputados', 'Ceará', 'feito', 'homens', 'mulheres', 'bem', 'Em', 'respeito', 'povo', 'mandou', 'cá', 'ser', 'achincalhado', 'ser', 'chamado', 'covarde', 'picareta', 'vendilhão', 'ter', 'honradez', 'povo', 'precisa', 'reconstruir', 'esperança', 'povo', 'enganado', 'castelo', 'mentiras', 'elegeu', 'Presidenta', 'Dilma', 'segundo', 'mandato', 'Governo', 'cometeu', 'erros', 'Advogado-Geral', 'União', 'conseguiu', 'defender', 'pois', 'indefensáveis', 'garantir', 'respeito', 'Constituição', 'brasileira', 'responsabilidade', 'fiscal', 'afastamento', 'Presidenta', 'Dilma']"
Domingos Neto,"['Solução', 'País', 'pode', 'existir', 'através', 'democracia', 'Apresentei', 'nesta', 'Casa', 'apoio', 'maioria', 'projeto', 'convoca', 'plebiscito', 'popular', 'população', 'diretamente', 'decida', 'futuro', 'Qualquer', 'solução', 'disso', 'pode', 'ser', 'respeitada', 'País', 'tanto', 'lutou', 'democracia', 'Sou', 'contra', 'eleições', 'indiretas', 'Sou', 'favor', 'democracia', 'impeachment']"
Genecias Noronha,"['Presidente', 'nome', '221', 'mil', 'mim', 'votaram', 'acreditaram', 'nome', 'Parambu', 'Estado', 'Ceará', 'povo', 'brasileiro']"
Gorete Pereira,"['Pela', 'Constituição', 'brasileira', 'contra', 'corrupção', 'País', 'respeitando', 'diminuição', 'desigualdades', 'sociais', 'querendo', 'eleição', 'nova', 'abster', 'porque', 'posso', 'acreditar', 'chapa', 'outra', 'abstenho']"
José Airton Cirilo,"['Presidente', 'telespectadores', 'dei', 'juventude', 'defesa', 'liberdade', 'justiça', 'direito', 'democracia', 'Em', 'nome', 'democracia', 'conquistamos', 'respeito', 'Constituição', 'brasileira', 'porque', 'vi', 'argumentos', 'daqueles', 'propagaram', 'dizendo', 'causa', 'dessa', 'admissibilidade', 'Quase', 'ninguém', 'disse', 'acusação', 'contra', 'Presidente', 'Dilma', 'pedaladas', 'fiscais', 'Todos', 'sabemos', 'grande', 'hipocrisia', 'porque', 'todos', 'governos', 'praticaram', 'pedaladas', 'fiscais', 'Portanto', 'Presidente', 'Dilma', 'cometeu', 'crime', 'nenhum', 'Por', 'nome', 'democracia', 'respeito', 'Constituição', 'brasileira', 'nome', 'dignidade', 'povo', 'brasileiro', 'respeito', 'Presidente', 'Dilma', 'mulher', 'honrada', 'séria', 'comprometida', 'povo', 'brasileiro', 'golpe', 'parlamentar']"
José Guimarães,"['Parlamentares', 'brasileiros', 'brasileiras', 'povo', 'cearense', 'importante', 'neste', 'momento', 'nome', 'milhões', 'pessoas', 'ruas', 'mostra', 'foto', 'nome', 'milhares', 'cearenses', 'Fortaleza', 'nome', '54', 'milhões', 'votos', 'Presidenta', 'Dilma', 'nome', 'humildes', 'daqueles', 'assistindo', 'todos', 'dizemos', 'golpe', 'democracia', 'Meu', 'Presidente']"
Leônidas Cristino,"['Parlamentares', 'presentes', 'irmãs', 'irmãos', 'cearenses', 'brasileiros', 'vejam', 'acontecendo', 'réu', 'Supremo', 'Tribunal', 'Federal', 'presidindo', 'sessão', 'fazer', 'impeachment', 'Presidente', 'honrada', 'inocente', 'Isso', 'pode', 'acontecer', 'merece']"
Luizianne Lins,"['Pela', 'juventude', 'deste', 'País', 'mulheres', 'guerreiras', 'população', 'LGBT', 'quilombolas', 'trabalhadores', 'campo', 'cidade', 'pessoas', 'deficiência', 'todos', 'ousam', 'sonhar', 'fim', 'corrupção', 'País', 'esperança', 'continue', 'vencendo', 'medo']"
Macedo,"['Presidente', 'adversidade', 'conhece', 'caráter', 'homens', 'Em', 'respeito', 'família', 'Constituição', 'democracia', 'plena', 'País']"
Moroni Torgan,"['Contra', 'golpe', 'Estado', 'Democrático', 'Direito', 'Constituição', 'Pátria', 'maravilhosos', 'cearenses', 'confiam', 'mim', 'Presidente']"
Moses Rodrigues,"['Presidente', 'Deputados', 'diante', 'falsas', 'promessas', 'refinaria', 'Estado', 'Ceará', 'fim', 'coronéis', 'Estado', 'sustentados', 'Governo', 'Presidente', 'Dilma', 'dignidade', 'todos', 'cearenses', 'povo', 'Sobral', 'mudança', 'Presidente']"
Odorico Monteiro,"['Presidente', 'geração', 'ruas', 'enfrentar', 'ditadura', 'golpe', 'filhos', 'Daniel', 'Sofia', 'conheçam', 'golpe', 'livros', 'defesa', 'Sistema', 'Único', 'Saúde', 'avanços', 'Governos', 'Lula', 'Dilma', 'contra', 'impeachment', 'crime', 'responsabilidade', 'Não', 'golpe', 'Não', 'impeachment']"
Raimundo Gomes de Matos,"['Presidente', 'defesa', 'povo', 'cearense', 'apoio', 'milhares', 'fortalezenses', 'neste', 'momento', 'Praça', 'Portugal', 'fortalecimento', 'Municípios', 'brasileiros', 'partir', 'Maranguape', 'Maracanaú', 'região', 'metropolitana', 'acima', 'tudo', 'esperança', 'povo', 'brasileiro', 'desenvolvimento', 'socioeconômico', 'justo', 'País', 'votamos', 'impeachment']"
Ronaldo Martins,"['Pelo', 'povo', 'Deus', 'defesa', 'família', 'tão', 'atacada', 'Governo', 'nome', 'povo', 'Estado', 'Ceará', 'tão', 'enganado', 'Governo', 'partido', 'PRB', 'segue', 'unido']"
Vicente Arruda,"['Voto', 'impeachment']"
Vitor Valim,"['Para', 'esperança', 'possa', 'vencer', 'medo', 'nome', '10', 'milhões', 'brasileiros', 'desempregados', 'nome', 'Estado', 'Ceará', 'verdadeiros', 'golpistas', 'cumpriram', 'promessa', 'refinaria', 'metrô', 'nome', 'povo', 'Fortaleza', 'abraço', 'todos', 'Praça', 'Portugal', 'Fora', 'PT']"
Alessandro Molon,"['Porque', 'prometi', 'defender', 'Constituição', 'cheguei', 'Casa', 'porque', 'crime', 'responsabilidade', 'parecer', 'Relator', 'porque', 'respeito', 'eleitor', 'brasileiro', 'porque', 'luto', 'democracia', 'País', 'convicto']"
Alexandre Serfiotis,"['Presidente', 'Deus', 'homenagem', 'pai', 'Jorge', 'Serfiotis', 'família', 'amigos', 'saúde', 'digna', 'cidade', 'Porto', 'Real', 'Estado', 'Rio', 'Janeiro']"
Alexandre Valle,"['Presidente', 'família', 'filhos', 'povo', 'Estado', 'Rio', 'Janeiro', 'população', 'Itaguaí', 'ordeira', 'trabalhadora']"
